Date,Slot No.,RefSt,Sensor_O3,Temp,RelHum
19-12-2021,SLOT-18,25.46883333,55.98305085,35.35666667,37.53666667
19-12-2021,SLOT-19,28.603,60.06779661,32.15333333,44.12666667
19-12-2021,SLOT-20,32.81966667,64.08474576,30.595,47.66666667
19-12-2021,SLOT-21,31.17383333,59.08474576,30.36166667,48.22833333
19-12-2021,SLOT-22,32.8145,54.10169492,29.79333333,49.785
19-12-2021,SLOT-22,32.8145,54.10169492,29.79333333,49.785
19-12-2021,SLOT-24,39.91683333,61.62711864,27.59333333,53.83166667
20-12-2021,SLOT-1,29.15183333,54.40350877,27.31166667,48.33333333
20-12-2021,SLOT-2,25.37583333,54.89830508,27.33833333,43.40333333
20-12-2021,SLOT-3,28.03233333,63.72881356,26.62666667,43.31666667
20-12-2021,SLOT-4,31.24083333,71.83050847,26.44166667,42.27
20-12-2021,SLOT-5,31.03383333,72.25423729,26.17833333,42.1
20-12-2021,SLOT-6,30.682,72.59322034,25.97166667,42.02666667
20-12-2021,SLOT-7,30.79066667,72.42372881,25.73833333,42.43333333
20-12-2021,SLOT-8,30.583,71.45762712,26.58833333,41.33666667
20-12-2021,SLOT-9,25.60233333,57.42372881,30.49833333,35.90666667
20-12-2021,SLOT-10,20.82716667,44.52542373,35.63333333,29.59666667
20-12-2021,SLOT-11,16.56066667,38.86206897,41.81333333,23.54
20-12-2021,SLOT-12,16.35333333,38.76271186,44.66333333,21.52833333
20-12-2021,SLOT-13,13.3725,36,50.18333333,16.575
20-12-2021,SLOT-14,17.93083333,36.91525424,39.46333333,26.64833333
20-12-2021,SLOT-15,18.11583333,36.03389831,37.06166667,27.215
20-12-2021,SLOT-16,18.31233333,36.20338983,36.18333333,28.75666667
20-12-2021,SLOT-17,19.25433333,40.06779661,34.90166667,30.56333333
20-12-2021,SLOT-18,23.94383333,47.55932203,34.115,40.30333333
20-12-2021,SLOT-19,29.56933333,64.3220339,31.95333333,44.905
20-12-2021,SLOT-20,32.43966667,65.86440678,30.97666667,46.41166667
20-12-2021,SLOT-21,33.428,66.27118644,30.44333333,46.78333333
20-12-2021,SLOT-22,35.32766667,67.45762712,29.88666667,48.03666667
20-12-2021,SLOT-22,35.32766667,67.45762712,29.88666667,48.03666667
20-12-2021,SLOT-24,42.53683333,65.05084746,28.38666667,54.11
21-12-2021,SLOT-1,37.7759322,56.27586207,28.06949153,53.95932203
21-12-2021,SLOT-2,32.18016667,49.96610169,27.66,51.19166667
21-12-2021,SLOT-3,28.9855,51.50847458,27.63666667,47.99
21-12-2021,SLOT-4,32.41483333,55.79661017,27.16666667,48.285
21-12-2021,SLOT-5,35.06566667,58.44067797,26.74,47.93
21-12-2021,SLOT-6,36.5325,59.11864407,26.40666667,48.34333333
21-12-2021,SLOT-7,40.7495,67.44067797,26.25666667,47.97166667
21-12-2021,SLOT-8,39.02066667,65.32758621,26.71,46.69333333
21-12-2021,SLOT-9,33.76683333,58.38983051,30.05,39.34166667
21-12-2021,SLOT-10,28.81583333,53.44067797,34.7,32.12166667
21-12-2021,SLOT-11,23.47266667,46.59322034,39.545,24.92166667
21-12-2021,SLOT-12,21.29283333,43.6440678,42.87333333,20.16333333
21-12-2021,SLOT-13,19.72883333,39.20338983,43.95333333,17.69
21-12-2021,SLOT-14,20.03983333,36.03389831,35.795,25.21333333
21-12-2021,SLOT-15,18.1175,35.28813559,34.92166667,25.47
21-12-2021,SLOT-16,24.69566667,46.33898305,34.565,30.33166667
21-12-2021,SLOT-17,25.785,52.03448276,36.12833333,36.05833333
21-12-2021,SLOT-18,30.76216667,60.52542373,34.55666667,40.43833333
21-12-2021,SLOT-19,35.59266667,69.31914894,32.57333333,45.72166667
21-12-2021,SLOT-20,35.453,43.6440678,31.055,49.01
21-12-2021,SLOT-21,41.88983333,39.20338983,30.52,50.89666667
21-12-2021,SLOT-22,41.81433333,36.03389831,30.11,51.66666667
21-12-2021,SLOT-22,41.81433333,35.28813559,30.11,51.66666667
21-12-2021,SLOT-24,51.45866667,46.33898305,29.33333333,53.52666667
22-12-2021,SLOT-1,57.15847458,52.03448276,28.03559322,57.73389831
22-12-2021,SLOT-2,57.02566667,60.52542373,27.18,60.015
22-12-2021,SLOT-3,55.20216667,69.31914894,27.085,59.34833333
22-12-2021,SLOT-4,51.87933333,43.6440678,26.71,59.47
22-12-2021,SLOT-5,50.1275,39.20338983,26.30833333,59.08666667
22-12-2021,SLOT-6,45.76,36.03389831,25.92333333,58.14333333
22-12-2021,SLOT-7,45.18483333,35.28813559,25.78833333,57.46666667
22-12-2021,SLOT-8,47.46166667,46.33898305,26.40833333,57.685
22-12-2021,SLOT-9,37.2365,52.03448276,29.39833333,48.88333333
22-12-2021,SLOT-10,31.978,60.52542373,34.35166667,38.56666667
22-12-2021,SLOT-11,27.36233333,69.31914894,40.095,27.38666667
22-12-2021,SLOT-12,24.96084746,57.98305085,43.98644068,21.32372881
22-12-2021,SLOT-13,23.42473684,55,46.89122807,17.92807018
22-12-2021,SLOT-14,24.43066667,53.68965517,38.96166667,25.98166667
22-12-2021,SLOT-15,24.586,54.62711864,38.285,27.865
22-12-2021,SLOT-16,24.65466667,55.81355932,35.32,29.855
22-12-2021,SLOT-17,26.00933333,55.50847458,34.32833333,33.45
22-12-2021,SLOT-18,29.34216667,67.41463415,34.43333333,39.53666667
22-12-2021,SLOT-19,33.35866667,65.37931034,31.93166667,44.30833333
22-12-2021,SLOT-20,41.25516667,76.3559322,30.675,48.98166667
22-12-2021,SLOT-21,43.98383333,77.93220339,30.44166667,48.33166667
22-12-2021,SLOT-22,44.50033333,73.28813559,29.72666667,50.00666667
22-12-2021,SLOT-22,44.50033333,73.28813559,29.72666667,50.00666667
22-12-2021,SLOT-24,56.388,80.03389831,28.495,54.75833333
23-12-2021,SLOT-1,67.89957983,80.17241379,28.11512605,59.86554622
23-12-2021,SLOT-2,71.61975,76.49152542,27.65166667,60.69083333
23-12-2021,SLOT-3,69.66416667,76.28813559,27.51083333,60.2925
23-12-2021,SLOT-4,69.262,74.23728814,27.39,59.93166667
23-12-2021,SLOT-5,63.95566667,75.89830508,26.81333333,60.39916667
23-12-2021,SLOT-6,60.69658333,77.37288136,26.5525,59.8775
23-12-2021,SLOT-7,57.64341667,75.61016949,26.35833333,59.21
23-12-2021,SLOT-8,56.39825,76.50847458,26.35666667,59.08333333
23-12-2021,SLOT-9,41.05725,72.16949153,29.73833333,50.56916667
23-12-2021,SLOT-10,33.79766667,79.72881356,35.20666667,38.67916667
23-12-2021,SLOT-11,29.26307692,73.49152542,41.30549451,28.50989011
23-12-2021,SLOT-12,27.64966667,70.23728814,44.435,22.53
