RefSt,Sensor_O3,Temp,RelHum
60.39880223,72.3305337,29.4637883,60.12729805
33.24963889,40.6519337,34.64916667,41.155
20.75206704,40.6519337,37.61927374,28.98351955
39.08672222,63.51274788,29.75805556,51.30833333
33.73958217,52.3796034,27.6632312,48.69637883
26.86354749,45.66158537,34.18463687,35.26731844
18.42580556,34.37288136,38.82166667,25.7475
29.36411111,51.79378531,30.68833333,44.53194444
27.58955432,54.98863636,26.71420613,43.68607242
20.44672222,42.94630872,34.22194444,30.88638889
18.1170195,36.93930636,39.01977716,25.31643454
33.82863889,56.0960452,29.85388889,49.23805556
29.25277778,61.45454545,26.64472222,43.575
23.45286111,50.02464789,34.15583333,32.39027778
18.48827778,39.44759207,38.65138889,28.34361111
35.6475766,65.73219373,30.06657382,48.74178273
33.81476323,55.42209632,27.27771588,49.60445682
31.18638889,55.00289855,33.35583333,35.20222222
23.18816667,38.59330144,36.65333333,29.20027778
41.35191667,46.25722,30.59861111,50.41166667
52.84688022,56.59330144,26.87047354,58.96963788
35.72727019,49.25,33.30835655,41.94261838
25.42459384,50.93142857,37.96218487,29.19663866
44.28188889,70.94915254,30.00527778,49.87444444
67.18196106,74.18181818,27.33783032,60.17663421
42.77259905,70.48397436,32.55800317,45.7229794
30.25053571,62.25981873,37.70238095,29.83541667
61.79763889,89.16147309,30.63777778,53.80444444
28.81552381,35.33711048,48.09047619,20.08690476
23.37202381,63.97175141,38.15821727,33.46072423
29.10487465,58.77903683,30.45055556,57.97055556
45.20536111,73.50564972,28.14388889,63.61
82.38544444,84.55084746,44.81969697,28.32575758
13.38333333,47.43661972,37.41574074,40.68425926
13.54435185,35.84883721,30.03983287,56.7643454
22.55727019,47.12886598,27.82913165,63.30112045
41.92462185,54.44759207,33.67521127,48.36760563
27.55476056,48.14730878,36.30367232,40.39350282
20.78923729,44.53107345,30.48575419,60.57346369
60.12829609,86.10451977,28.43513514,65.16858108
80.63388514,85.34659091,27.40611111,68.04722222
23.13183333,62.08943089,39.73286517,33.46488764
18.30308989,48.57223796,30.72027778,49.7225
37.22813889,73.61581921,28.52931034,60.66738506
45.00231322,81.74295775,27.65351682,62.36941896
22.75269113,42.59405941,41.26399217,28.11076321
10.26003914,44.10600707,30.85388889,47.73083333
24.37283333,66.90112994,37.7921875,29.96458333
19.99989486,72.456,30.41861111,47.45722222
15.99989486,29.33333333,28.69554318,58.96908078
13.45380208,27.99716714,28.51194444,57.57527778
21.51405556,37.05084746,39.23203343,29.11281337
30.01462396,34.98290598,31.59833333,43.96138889
13.40872222,25.55367232,29.81922006,54.40194986
7.870250696,23.88700565,29.72668539,47.56825843
16.85036111,33.14730878,39.3779661,30.28135593
16.23398329,32.15909091,32.93861111,38.94555556
8.491095506,27.32011331,30.79303621,48.57548747
7.233983051,23.67816092,30.79972222,48.64888889
14.83255556,47.14164306,41.5543662,29.36478873
15.72328691,35.47025496,33.88277778,42.02944444
10.08511111,24.0368272,30.42952646,54.86072423
5.881267606,18.31549296,30.65111111,49.22944444
16.59183333,28.8101983,41.46629526,27.43008357
10.11824513,16.25782,35.58416667,43.22138889
4.977611111,15.52787,30.49972145,51.08662953
2.836350975,14.2567,30.15238095,45.9232493
11.46475,37.18079096,40.00277778,27.95611111
7.355598886,43.06018519,31.78138889,44.49083333
6.630728291,14.35783,29.87548747,55.20835655
6.212805556,13.68943,29.32709497,46.09162011
12.77208333,24.5362,39.75972222,25.84527778
14.60083565,20.4673,32.66555556,41.96111111
11.53944134,32.89166667,28.98715084,55.58938547
7.907694444,30.73446328,28.15113636,46.434375
20.342,48.64872521,39.79692737,24.0452514
18.19307263,47.70056497,32.73222222,43.15027778
11.13875,39.12747875,28.28913649,55.29721448
7.602569832,32.04829545,27.64094708,53.07130919
17.93722222,62.57909605,39.28527778,24.11138889
20.53983287,51.90084986,31.96916667,42.71083333
12.42030641,47.72727273,28.26016713,56.6454039
7.772916667,47.72727273,27.19222222,55.53277778
24.63358333,47.72727273,41.3735376,27.76545961
21.735961,47.72727273,33.33944444,42.14138889
14.34722222,45.07037037,28.35208914,55.12729805
9.245125348,23.61864407,27.04583333,58.45111111
20.21233333,35.12747875,41.4325,30.24972222
23.70150418,29.77840909,33.25416667,38.69388889
19.15841667,25.54084507,28.02952646,52.08022284
