Date,Slot No.,AVG PM1,AVG PM2.5,AVG PM10
16-12-2021,SLOT-1,0,0,0
16-12-2021,SLOT-2,0,0,0
16-12-2021,SLOT-3,0,0,0
16-12-2021,SLOT-4,0,0,0
16-12-2021,SLOT-5,0,0,0
16-12-2021,SLOT-6,0,0,0
16-12-2021,SLOT-7,0,0,0
16-12-2021,SLOT-8,0,0,0
16-12-2021,SLOT-9,0,0,0
16-12-2021,SLOT-10,0,0,0
16-12-2021,SLOT-11,0,0,0
16-12-2021,SLOT-12,14.878124999999999,19.629687499999996,30.530625
16-12-2021,SLOT-13,14.898448275862073,19.679310344827584,29.971379310344837
16-12-2021,SLOT-14,14.491333333333326,19.352166666666662,27.227666666666668
16-12-2021,SLOT-15,13.1606779661017,17.695254237288136,25.933559322033897
16-12-2021,SLOT-16,12.1355,16.4035,23.974999999999998
16-12-2021,SLOT-17,20.806101694915252,28.92423728813559,43.05271186440679
16-12-2021,SLOT-18,31.321999999999996,44.451833333333326,63.76083333333333
16-12-2021,SLOT-19,39.39866666666667,57.53983333333331,77.64466666666667
16-12-2021,SLOT-20,42.87300000000001,63.77149999999999,84.15399999999998
16-12-2021,SLOT-21,42.91666666666665,63.522499999999994,80.43733333333331
16-12-2021,SLOT-22,45.02266666666669,67.2985,84.24449999999997
16-12-2021,SLOT-22,45.02266666666669,67.2985,84.24449999999997
16-12-2021,SLOT-24,56.303333333333335,93.25916666666667,121.28066666666669
17-12-2021,SLOT-1,64.42016949152543,113.58661016949152,146.34813559322035
17-12-2021,SLOT-2,67.05366666666666,119.58599999999998,150.587
17-12-2021,SLOT-3,64.11816666666667,111.15983333333335,137.1325
17-12-2021,SLOT-4,50.49983333333333,80.25166666666665,101.7443333333333
17-12-2021,SLOT-5,55.4883333333333,92.79666666666667,121.43016666666662
17-12-2021,SLOT-6,60.879666666666665,104.27416666666666,131.36316666666667
17-12-2021,SLOT-7,64.057,113.52783333333333,140.80816666666664
17-12-2021,SLOT-8,39.45683333333332,58.497333333333344,76.13566666666665
17-12-2021,SLOT-9,30.468499999999995,42.55166666666664,60.577666666666666
17-12-2021,SLOT-10,26.13066666666667,35.82783333333332,55.820333333333345
17-12-2021,SLOT-11,21.442833333333333,28.41666666666667,43.468833333333336
17-12-2021,SLOT-12,17.942000000000007,24.045500000000004,39.034833333333346
17-12-2021,SLOT-13,16.86542372881356,21.85,33.9422033898305
17-12-2021,SLOT-14,22.951000000000004,33.86166666666668,47.490166666666674
17-12-2021,SLOT-15,18.14816666666667,23.854833333333335,33.99566666666666
17-12-2021,SLOT-16,20.385333333333335,28.122333333333334,45.659666666666666
17-12-2021,SLOT-17,20.328813559322036,27.916610169491534,43.985593220338984
17-12-2021,SLOT-18,25.761833333333335,35.65700000000001,53.93050000000001
17-12-2021,SLOT-19,33.16833333333333,47.411500000000004,65.38283333333332
17-12-2021,SLOT-20,35.27683333333332,51.54533333333332,69.129
17-12-2021,SLOT-21,38.81016666666667,58.20333333333335,80.91749999999999
17-12-2021,SLOT-22,37.75366666666668,56.98799999999999,81.74183333333332
17-12-2021,SLOT-22,37.75366666666668,56.98799999999999,81.74183333333332
17-12-2021,SLOT-24,41.25716666666665,62.3645,78.22999999999998
18-12-2021,SLOT-1,37.53508474576271,55.65406779661016,70.21423728813559
18-12-2021,SLOT-2,32.18566666666667,45.723333333333336,57.567333333333345
18-12-2021,SLOT-3,31.837333333333333,45.04683333333334,57.515166666666666
