YEAR,MO,DY,HR,T2M,RH2M,WS2M,WD2M,
2021,12,5,9,25.15,75.88,0.41,7.67,12/5/2021
2021,12,5,10,26.48,69.12,0.27,293.63,12/5/2021
2021,12,5,11,27.21,66.12,0.56,267.58,12/5/2021
2021,12,5,12,27.46,65.88,0.81,266.7,12/5/2021
2021,12,5,13,27.36,66.88,1,269.55,12/5/2021
2021,12,5,14,27.01,68.62,1.08,272.08,12/5/2021
2021,12,5,15,26.49,70.94,1.03,272.17,12/5/2021
2021,12,5,16,25.62,76.75,0.8,270,12/5/2021
2021,12,5,17,23.76,88.81,0.45,265.07,12/5/2021
2021,12,5,18,22,94.94,0.46,263.12,12/5/2021
2021,12,5,19,21.14,98.19,0.47,270,12/5/2021
2021,12,5,20,20.48,100,0.47,283.35,12/5/2021
2021,12,5,21,19.99,100,0.49,297.8,12/5/2021
2021,12,5,22,19.68,100,0.52,308.25,12/5/2021
2021,12,5,23,19.29,100,0.54,316.17,12/5/2021
2021,12,6,0,18.81,100,0.53,325.15,12/6/2021
2021,12,6,1,18.29,100,0.52,333.43,12/6/2021
2021,12,6,2,17.75,100,0.52,341.57,12/6/2021
2021,12,6,3,17.3,100,0.52,348.69,12/6/2021
2021,12,6,4,16.9,100,0.48,359.08,12/6/2021
2021,12,6,5,16.53,100,0.46,11.89,12/6/2021
2021,12,6,6,16.4,100,0.52,21.96,12/6/2021
2021,12,6,7,18.18,92.88,0.97,30.49,12/6/2021
2021,12,6,8,20.8,84.44,0.82,41.13,12/6/2021
2021,12,6,9,23.7,73.56,0.69,65.18,12/6/2021
2021,12,6,10,25.41,66,0.49,98.26,12/6/2021
2021,12,6,11,26.4,60.94,0.4,151.93,12/6/2021
2021,12,6,12,26.83,59.12,0.56,200.46,12/6/2021
2021,12,6,13,26.77,59.88,0.8,221.03,12/6/2021
2021,12,6,14,26.37,61.94,0.91,228.81,12/6/2021
2021,12,6,15,25.69,65.81,0.9,234.23,12/6/2021
2021,12,6,16,24.67,74.62,0.68,240.17,12/6/2021
2021,12,6,17,22.45,87.75,0.51,249.34,12/6/2021
2021,12,6,18,20.91,90.62,0.72,263.11,12/6/2021
2021,12,6,19,20.44,89.88,0.76,280.04,12/6/2021
2021,12,6,20,20.02,89.94,0.74,301.17,12/6/2021
2021,12,6,21,19.49,90.44,0.74,325.3,12/6/2021
2021,12,6,22,18.83,91.44,0.78,347.22,12/6/2021
2021,12,6,23,18.01,93.31,0.8,1.12,12/6/2021
2021,12,7,0,17.22,95,0.78,9.18,12/7/2021
2021,12,7,1,16.53,96.06,0.73,14.18,12/7/2021
2021,12,7,2,16.01,96,0.67,16.96,12/7/2021
2021,12,7,3,15.72,95.12,0.61,20.3,12/7/2021
2021,12,7,4,15.64,93.69,0.59,24.88,12/7/2021
2021,12,7,5,15.51,92.5,0.61,31.46,12/7/2021
2021,12,7,6,15.72,90.19,0.62,38.88,12/7/2021
2021,12,7,7,17.58,84.44,1.05,47.41,12/7/2021
2021,12,7,8,19.69,79.75,1.16,55.45,12/7/2021
2021,12,7,9,22.75,72.88,1.16,71.57,12/7/2021
2021,12,7,10,25.05,67.06,1.2,87.01,12/7/2021
2021,12,7,11,26.38,64.69,1.16,101.23,12/7/2021
2021,12,7,12,27.12,63.56,1.04,113.09,12/7/2021
2021,12,7,13,27.4,63.5,0.85,123.69,12/7/2021
2021,12,7,14,27.31,64.62,0.66,134.05,12/7/2021
2021,12,7,15,26.89,68.12,0.47,149.2,12/7/2021
2021,12,7,16,26.49,72.19,0.33,147.43,12/7/2021
2021,12,7,17,25.36,73.81,0.29,165.96,12/7/2021
2021,12,7,18,24.39,71.38,0.36,218.85,12/7/2021
2021,12,7,19,23.64,72.62,0.3,265.49,12/7/2021
2021,12,7,20,22.92,74.75,0.38,327.62,12/7/2021
2021,12,7,21,21.81,80.06,0.59,0,12/7/2021
2021,12,7,22,20.6,85.75,0.69,22.52,12/7/2021
2021,12,7,23,19.48,90.88,0.62,39.34,12/7/2021
2021,12,8,0,18.92,91.44,0.58,54.37,12/8/2021
2021,12,8,1,18.69,89.5,0.71,63.72,12/8/2021
2021,12,8,2,18.52,87.75,0.78,71.2,12/8/2021
2021,12,8,3,18.01,89.44,0.9,76.93,12/8/2021
2021,12,8,4,17.64,90.75,1.07,81.16,12/8/2021
2021,12,8,5,17.3,91.81,1.17,84.63,12/8/2021
2021,12,8,6,17.02,92.5,1.22,87.8,12/8/2021
2021,12,8,7,18.24,87.88,1.73,90,12/8/2021
2021,12,8,8,20.44,80.94,1.77,92.53,12/8/2021
2021,12,8,9,22.94,73.25,1.7,95.55,12/8/2021
2021,12,8,10,24.87,68.06,1.61,100.06,12/8/2021
2021,12,8,11,26.26,64.12,1.44,105.39,12/8/2021
2021,12,8,12,27.08,61.56,1.23,110.85,12/8/2021
2021,12,8,13,27.38,60.44,1.02,116.76,12/8/2021
2021,12,8,14,27.29,61.44,0.86,121.68,12/8/2021
2021,12,8,15,27.08,64.44,0.7,120.85,12/8/2021
2021,12,8,16,26.47,64.5,0.64,113.75,12/8/2021
2021,12,8,17,24.45,72.44,0.62,117.86,12/8/2021
2021,12,8,18,23.82,66,0.76,114.98,12/8/2021
2021,12,8,19,22.86,67.94,0.83,100.35,12/8/2021
2021,12,8,20,21.59,72.75,0.92,90.97,12/8/2021
2021,12,8,21,20.21,78.88,0.92,86.12,12/8/2021
2021,12,8,22,18.91,84.75,0.81,85.6,12/8/2021
2021,12,8,23,18.03,87.31,0.69,86.1,12/8/2021
2021,12,9,0,17.68,86.56,0.65,85.18,12/9/2021
2021,12,9,1,17.32,87.44,0.66,81.1,12/9/2021
2021,12,9,2,17.12,87.06,0.66,77.62,12/9/2021
2021,12,9,3,17.15,86.69,0.66,76.95,12/9/2021
2021,12,9,4,16.8,89.62,0.67,76.45,12/9/2021
2021,12,9,5,16.55,92.88,0.68,78.04,12/9/2021
2021,12,9,6,16.56,94.69,0.7,80.33,12/9/2021
2021,12,9,7,18.51,88.81,1.35,83,12/9/2021
2021,12,9,8,20.95,82.38,1.39,86.14,12/9/2021
2021,12,9,9,23.84,74.06,1.39,94.52,12/9/2021
2021,12,9,10,25.8,68.19,1.31,100.64,12/9/2021
2021,12,9,11,26.91,64.38,1.21,108.79,12/9/2021
2021,12,9,12,27.47,62.25,1.07,118.24,12/9/2021
2021,12,9,13,27.64,61.69,0.94,127.54,12/9/2021
2021,12,9,14,27.5,62.81,0.78,135.81,12/9/2021
2021,12,9,15,27.29,66.88,0.59,140.39,12/9/2021
2021,12,9,16,27.01,67.12,0.39,126.87,12/9/2021
2021,12,9,17,25.87,68.5,0.21,111.8,12/9/2021
2021,12,9,18,24.77,66.12,0.44,327.99,12/9/2021
2021,12,9,19,22.93,74.62,0.8,338.2,12/9/2021
2021,12,9,20,21.23,83.12,0.85,355.28,12/9/2021
2021,12,9,21,20.16,89,0.74,15.2,12/9/2021
2021,12,9,22,19.89,89.75,0.76,35.81,12/9/2021
2021,12,9,23,20.17,88.62,0.89,50.71,12/9/2021
2021,12,10,0,20.17,90.56,1.04,62.66,12/10/2021
2021,12,10,1,20.08,93.31,1,70.86,12/10/2021
2021,12,10,2,20.01,95,0.86,77.98,12/10/2021
2021,12,10,3,19.82,96.69,0.73,81.35,12/10/2021
2021,12,10,4,19.53,98.38,0.6,77.23,12/10/2021
2021,12,10,5,19.37,99,0.61,75.26,12/10/2021
2021,12,10,6,19.4,98.25,0.7,75.19,12/10/2021
2021,12,10,7,20.86,92.31,1.33,76.05,12/10/2021
2021,12,10,8,22.7,84.94,1.71,80.8,12/10/2021
2021,12,10,9,24.48,78.56,1.9,83.37,12/10/2021
2021,12,10,10,25.97,73.69,1.9,83.63,12/10/2021
2021,12,10,11,27.05,70.44,1.8,85.03,12/10/2021
2021,12,10,12,27.75,68.31,1.63,87.26,12/10/2021
2021,12,10,13,28.11,67.19,1.42,91.89,12/10/2021
2021,12,10,14,28.11,67.88,1.17,98.46,12/10/2021
2021,12,10,15,27.8,71.12,0.93,104.15,12/10/2021
2021,12,10,16,27.27,76.62,0.68,101.18,12/10/2021
2021,12,10,17,25.46,84.38,0.54,90.83,12/10/2021
2021,12,10,18,24.49,84,0.73,77.6,12/10/2021
2021,12,10,19,23.37,89.44,0.77,71.01,12/10/2021
2021,12,10,20,22.73,89.44,0.74,71.57,12/10/2021
2021,12,10,21,22.55,87.94,0.8,72.45,12/10/2021
2021,12,10,22,22.19,88.38,0.8,74.74,12/10/2021
2021,12,10,23,21.67,89.75,0.8,77.05,12/10/2021
2021,12,11,0,21.08,91.31,0.74,77.28,12/11/2021
2021,12,11,1,20.46,93.25,0.7,75.19,12/11/2021
2021,12,11,2,19.98,94.69,0.75,74.38,12/11/2021
2021,12,11,3,19.7,94.88,0.92,74.66,12/11/2021
2021,12,11,4,19.45,94.56,1.07,76.07,12/11/2021
2021,12,11,5,19.17,94.25,1.1,77.34,12/11/2021
2021,12,11,6,19.03,93.75,1.11,79.48,12/11/2021
2021,12,11,7,20.19,89.69,1.64,82.6,12/11/2021
2021,12,11,8,22.22,84,2.04,90.44,12/11/2021
2021,12,11,9,24.16,77.12,2.19,93.47,12/11/2021
2021,12,11,10,25.58,71.5,2.12,94.87,12/11/2021
2021,12,11,11,26.59,67.94,1.96,96.87,12/11/2021
2021,12,11,12,27.29,65.88,1.75,98.49,12/11/2021
2021,12,11,13,27.68,65.19,1.51,99.85,12/11/2021
2021,12,11,14,27.72,66.12,1.29,100.49,12/11/2021
2021,12,11,15,27.5,69.62,1.01,100.7,12/11/2021
2021,12,11,16,26.94,75.38,0.72,97.51,12/11/2021
2021,12,11,17,25.47,80.25,0.57,95.55,12/11/2021
2021,12,11,18,24.83,75.94,0.63,82.17,12/11/2021
2021,12,11,19,23.87,80.06,0.76,62.38,12/11/2021
2021,12,11,20,22.62,86.62,0.83,61.99,12/11/2021
2021,12,11,21,21.75,89.81,0.72,70.39,12/11/2021
2021,12,11,22,21.33,89.5,0.7,75.19,12/11/2021
2021,12,11,23,21.06,88.56,0.72,81.25,12/11/2021
2021,12,12,0,20.55,90.06,0.68,86.05,12/12/2021
2021,12,12,1,19.98,92.31,0.68,86.71,12/12/2021
2021,12,12,2,19.58,93.81,0.7,85.5,12/12/2021
2021,12,12,3,19.42,94.31,0.76,84.11,12/12/2021
2021,12,12,4,19.29,94.75,0.82,83.96,12/12/2021
2021,12,12,5,19.1,95.69,0.82,84.51,12/12/2021
2021,12,12,6,19.08,96.19,0.9,85.53,12/12/2021
2021,12,12,7,20.41,91.56,1.55,87.4,12/12/2021
2021,12,12,8,22.34,84.19,1.98,91.81,12/12/2021
2021,12,12,9,24.26,76.56,2.07,92.38,12/12/2021
2021,12,12,10,25.78,71.06,2.04,92.63,12/12/2021
2021,12,12,11,26.84,67.25,1.94,95.55,12/12/2021
2021,12,12,12,27.49,65.06,1.77,100.17,12/12/2021
2021,12,12,13,27.76,64.5,1.56,102.72,12/12/2021
2021,12,12,14,27.69,65.62,1.35,104.36,12/12/2021
2021,12,12,15,27.26,70.12,1.06,106.7,12/12/2021
2021,12,12,16,26.48,77.94,0.73,108.05,12/12/2021
2021,12,12,17,24.84,84.94,0.54,112.87,12/12/2021
2021,12,12,18,24.03,83,0.68,115.1,12/12/2021
2021,12,12,19,23.51,83.44,0.77,106.42,12/12/2021
2021,12,12,20,22.74,86.25,0.87,98.28,12/12/2021
2021,12,12,21,21.72,90.75,0.76,94.13,12/12/2021
2021,12,12,22,21.12,92.38,0.6,94.46,12/12/2021
2021,12,12,23,20.82,92.25,0.63,92.86,12/12/2021
2021,12,13,0,20.57,91.31,0.65,89.31,12/13/2021
2021,12,13,1,20.16,92.19,0.63,84.29,12/13/2021
2021,12,13,2,19.71,93.94,0.64,79.51,12/13/2021
2021,12,13,3,19.5,94.38,0.73,79.53,12/13/2021
2021,12,13,4,19.3,94.62,0.8,82.11,12/13/2021
2021,12,13,5,18.94,95.56,0.78,84.86,12/13/2021
2021,12,13,6,18.8,95.94,0.85,86.85,12/13/2021
2021,12,13,7,20.1,91,1.44,85.34,12/13/2021
2021,12,13,8,22,83.88,1.72,88.18,12/13/2021
2021,12,13,9,23.83,76.81,1.75,90.26,12/13/2021
2021,12,13,10,25.21,71.56,1.65,91.63,12/13/2021
2021,12,13,11,25.87,68.44,1.51,93.85,12/13/2021
2021,12,13,12,25.97,67.56,1.35,97.33,12/13/2021
2021,12,13,13,25.83,68.25,1.15,100.17,12/13/2021
2021,12,13,14,25.54,71.19,0.91,99.38,12/13/2021
2021,12,13,15,25.24,75.88,0.67,95.38,12/13/2021
2021,12,13,16,24.7,79,0.6,86.28,12/13/2021
2021,12,13,17,23.14,87.56,0.5,82.87,12/13/2021
2021,12,13,18,22.17,87.31,0.67,78.56,12/13/2021
2021,12,13,19,21.46,88.62,0.69,74.86,12/13/2021
2021,12,13,20,20.9,88.94,0.61,75.26,12/13/2021
2021,12,13,21,20.45,88.06,0.61,77.39,12/13/2021
2021,12,13,22,19.98,88.94,0.66,78.42,12/13/2021
2021,12,13,23,19.82,87.69,0.65,78.96,12/13/2021
2021,12,14,0,19.75,87.38,0.71,81.16,12/14/2021
2021,12,14,1,19.55,88.12,0.8,82.67,12/14/2021
2021,12,14,2,19.33,88.94,0.87,82.23,12/14/2021
2021,12,14,3,19.21,89.44,0.83,83.48,12/14/2021
2021,12,14,4,19.15,89.94,0.82,84.02,12/14/2021
2021,12,14,5,19.08,90.81,0.79,83.78,12/14/2021
2021,12,14,6,19.11,91.81,0.76,80.54,12/14/2021
2021,12,14,7,20.14,89.5,1.22,77.83,12/14/2021
2021,12,14,8,21.76,85.62,1.43,84.98,12/14/2021
2021,12,14,9,23.4,80.44,1.54,90.29,12/14/2021
2021,12,14,10,24.44,76.56,1.51,92.37,12/14/2021
2021,12,14,11,25.01,74.44,1.35,96.63,12/14/2021
2021,12,14,12,25.29,73.62,1.17,103.94,12/14/2021
2021,12,14,13,25.3,74.12,1.02,111.64,12/14/2021
2021,12,14,14,25.22,75.5,0.89,112.08,12/14/2021
2021,12,14,15,25.03,78.06,0.73,104.18,12/14/2021
2021,12,14,16,24.59,83.81,0.52,89.14,12/14/2021
2021,12,14,17,23.45,90.75,0.36,66.8,12/14/2021
2021,12,14,18,22.58,93.19,0.43,48.72,12/14/2021
2021,12,14,19,22.23,92.19,0.44,43.57,12/14/2021
2021,12,14,20,21.96,91.62,0.49,43.7,12/14/2021
2021,12,14,21,21.76,90.62,0.47,48.37,12/14/2021
2021,12,14,22,21.42,91.19,0.43,56.02,12/14/2021
2021,12,14,23,21.05,92.12,0.44,62.53,12/14/2021
2021,12,15,0,20.67,92.62,0.48,67.17,12/15/2021
2021,12,15,1,20.48,91.62,0.58,73.52,12/15/2021
2021,12,15,2,20.24,91.62,0.6,77.23,12/15/2021
2021,12,15,3,20.01,92.12,0.61,81.14,12/15/2021
2021,12,15,4,19.86,92.44,0.61,84.14,12/15/2021
2021,12,15,5,19.76,92.81,0.6,85.54,12/15/2021
2021,12,15,6,19.69,93.38,0.59,85.43,12/15/2021
2021,12,15,7,20.33,91.75,0.98,83.1,12/15/2021
2021,12,15,8,21.68,87.12,1.38,92.59,12/15/2021
2021,12,15,9,23.65,79.62,1.64,98.75,12/15/2021
2021,12,15,10,25.27,74,1.57,101.2,12/15/2021
2021,12,15,11,26.25,70.38,1.41,108.03,12/15/2021
2021,12,15,12,26.83,68.19,1.31,117.63,12/15/2021
2021,12,15,13,27.12,67,1.24,125.29,12/15/2021
2021,12,15,14,26.94,67.75,1.14,131.11,12/15/2021
2021,12,15,15,26.44,71.12,0.93,133.64,12/15/2021
2021,12,15,16,25.87,77.38,0.61,126.72,12/15/2021
2021,12,15,17,24.71,81.75,0.44,117.47,12/15/2021
2021,12,15,18,24.12,82.5,0.45,108.12,12/15/2021
2021,12,15,19,23.85,82.12,0.47,104.5,12/15/2021
2021,12,15,20,23.16,83.44,0.54,104.24,12/15/2021
2021,12,15,21,22.35,85.94,0.64,105.56,12/15/2021
2021,12,15,22,21.26,91.88,0.61,106.35,12/15/2021
2021,12,15,23,20.3,93.75,0.53,110.85,12/15/2021
2021,12,16,0,19.73,94.44,0.54,112.11,12/16/2021
2021,12,16,1,19.33,94.44,0.5,108.15,12/16/2021
2021,12,16,2,18.94,95.19,0.47,101.5,12/16/2021
2021,12,16,3,18.57,96.06,0.48,94.69,12/16/2021
2021,12,16,4,18.29,96.56,0.52,90.87,12/16/2021
2021,12,16,5,18.02,96.94,0.57,90.78,12/16/2021
2021,12,16,6,17.9,96.56,0.7,91.29,12/16/2021
2021,12,16,7,19.06,91.38,1.36,91.65,12/16/2021
2021,12,16,8,21.1,83.88,1.64,95.19,12/16/2021
2021,12,16,9,23.16,76.81,1.73,95.97,12/16/2021
2021,12,16,10,24.72,71.94,1.65,97.36,12/16/2021
2021,12,16,11,25.78,68.75,1.48,100.3,12/16/2021
2021,12,16,12,26.52,66.69,1.31,104.12,12/16/2021
