,0
0,80.51850418
1,117.3385795
2,56.71880342
3,73.34731625
4,84.14817545
5,48.40886795
6,61.42798589
7,59.55956772
8,56.44716571
9,57.33055418
10,67.25493597
11,49.88510061
12,59.52895499
13,56.22595019
14,72.25425884
15,73.11749849
16,27.41551318
17,26.30811986
18,29.59657841
19,22.69634913
20,27.04466876
21,52.6022241
22,57.76207086
23,33.09567634
24,65.70132202
25,54.89172408
26,85.47764216
27,66.97021928
28,76.57047739
