2023/2/24,12:32:32,,31.2,50.6,65.1,nan,nan
2023/2/24,12:32:41,,31.8,51.8,66.5,nan,nan
2023/2/24,12:32:50,,32.0,52.9,67.4,nan,nan
2023/2/24,12:32:59,,29.2,50.0,66.4,nan,nan
2023/2/24,12:33:8,,29.7,50.6,68.2,nan,nan
2023/2/24,12:33:17,,29.1,50.6,67.3,nan,nan
2023/2/24,12:33:26,,30.2,50.2,69.7,nan,nan
2023/2/24,12:33:35,,28.8,49.9,70.0,nan,nan
2023/2/24,12:33:44,,28.6,50.6,69.2,nan,nan
2023/2/24,12:33:53,,29.3,49.9,66.1,nan,nan
2023/2/24,12:34:2,,29.0,51.0,66.2,nan,nan
2023/2/24,12:34:11,,28.5,50.0,67.3,nan,nan
2023/2/24,12:34:20,,29.0,50.9,67.2,nan,nan
2023/2/24,12:34:29,,29.0,49.8,64.5,nan,nan
2023/2/24,12:34:37,,29.0,48.7,62.4,nan,nan
2023/2/24,12:34:46,,28.7,48.4,63.0,nan,nan
2023/2/24,12:34:55,,29.3,49.3,63.9,nan,nan
2023/2/24,12:35:4,,29.8,51.1,67.9,nan,nan
2023/2/24,12:35:13,,28.6,50.5,65.3,nan,nan
2023/2/24,12:35:22,,29.0,50.3,63.5,nan,nan
2023/2/24,12:35:31,,29.0,50.3,62.4,nan,nan
2023/2/24,12:35:40,,28.2,49.2,63.4,nan,nan
2023/2/24,12:35:49,,28.0,47.0,63.9,nan,nan
2023/2/24,12:35:58,,28.0,47.6,63.7,nan,nan
2023/2/24,12:36:6,,27.3,47.3,62.0,nan,nan
2023/2/24,12:36:16,,26.3,47.4,62.7,nan,nan
2023/2/24,12:36:25,,29.1,49.9,65.4,nan,nan
2023/2/24,12:36:34,,28.2,50.1,62.7,nan,nan
2023/2/24,12:36:43,,28.0,48.4,62.2,nan,nan
2023/2/24,12:36:51,,28.0,47.7,62.3,nan,nan
2023/2/24,12:37:0,,27.1,46.0,59.9,nan,nan
2023/2/24,12:37:9,,27.9,47.2,60.1,nan,nan
2023/2/24,12:37:18,,27.7,48.7,64.5,nan,nan
2023/2/24,12:37:27,,28.0,48.0,65.1,nan,nan
2023/2/24,12:37:36,,28.0,47.4,62.7,nan,nan
2023/2/24,12:37:45,,27.8,48.4,63.3,nan,nan
2023/2/24,12:37:54,,28.7,49.1,65.2,nan,nan
2023/2/24,12:38:2,,28.4,48.2,62.6,nan,nan
2023/2/24,12:38:12,,27.5,47.6,61.3,nan,nan
2023/2/24,12:38:20,,26.6,45.5,60.8,nan,nan
