Date,Slot No.,AVG PM1,AVG PM2.5,AVG PM10
16-12-2021,SLOT-1,14.878124999999999,19.629687499999996,30.530625
16-12-2021,SLOT-2,31.98607541899441,47.59121508379886,63.773184357541844
17-12-2021,SLOT-1,46.805340751043175,76.99265646731573,100.30695410292061
17-12-2021,SLOT-2,29.944930362116995,43.72452646239556,61.36352367688018
18-12-2021,SLOT-1,30.306359832635998,42.67641562064158,55.895132496513284
18-12-2021,SLOT-2,23.89495833333331,33.14544444444444,49.80251388888885
19-12-2021,SLOT-1,24.013171070931833,33.21446453407511,46.406230876217
19-12-2021,SLOT-2,25.983755215577165,37.22933240611966,56.00015299026425
20-12-2021,SLOT-1,26.352819444444478,36.91619444444444,51.42463888888884
20-12-2021,SLOT-2,27.055994436717647,39.232892906814975,57.35183588317111
21-12-2021,SLOT-1,32.49874826147429,47.601057023643925,63.845493741307344
21-12-2021,SLOT-2,32.270041666666685,48.61126388888882,70.03777777777779
22-12-2021,SLOT-1,44.28707520891367,72.70530640668518,91.41422005571029
22-12-2021,SLOT-2,34.892691771269185,52.629721059972105,75.42712691771266
23-12-2021,SLOT-1,55.772844444444445,93.87834814814809,116.20280740740728
23-12-2021,SLOT-2,46.56800287356318,73.34379310344832,96.57653735632191
24-12-2021,SLOT-1,23.483411764705878,29.015764705882354,40.046235294117665
24-12-2021,SLOT-2,37.16631432545206,54.546008344923486,73.71389429763556
25-12-2021,SLOT-1,63.8726829268293,128.47995934959314,175.43093495934974
25-12-2021,SLOT-2,20.47291220556744,31.283361884368325,49.210278372591006
26-12-2021,SLOT-1,34.75987359550561,58.38073033707861,77.19491573033709
26-12-2021,SLOT-2,40.569269662921336,64.81596910112354,93.670547752809
27-12-2021,SLOT-1,58.889411764705955,107.32787815126058,137.07775210084026
27-12-2021,SLOT-2,27.818477653631298,43.93942737430167,63.94384078212293
28-12-2021,SLOT-1,34.22360740740745,61.380807407407424,81.51040000000026
28-12-2021,SLOT-2,16.093111366245694,25.457095292766923,43.00625717566018
29-12-2021,SLOT-1,0,0,0
29-12-2021,SLOT-2,18.710489130434777,29.220615942029017,45.8399275362319
30-12-2021,SLOT-1,21.70012517385256,35.01286509040333,48.995521557719094
30-12-2021,SLOT-2,12.36655076495134,18.10877607788597,30.462698191933253
31-12-2021,SLOT-1,12.378783216783239,19.038489510489512,33.39545454545452
31-12-2021,SLOT-2,11.065196078431379,15.675392156862735,25.68135854341736
01-01-2022,SLOT-1,12.900278164116806,19.272141863699595,29.942100139082022
01-01-2022,SLOT-2,11.274000000000001,18.743510489510484,31.07493706293705
02-01-2022,SLOT-1,7.544353268428373,11.856175243393613,21.574589707927682
02-01-2022,SLOT-2,7.156550764951323,11.740834492350487,21.71746870653685
03-01-2022,SLOT-1,6.994175977653628,10.78501396648045,20.85527932960895
03-01-2022,SLOT-2,9.492444444444438,14.503111111111103,24.58748611111111
04-01-2022,SLOT-1,13.072273361227339,19.534672245467217,30.63390516039052
04-01-2022,SLOT-2,14.124847222222229,23.186180555555545,40.65965277777781
05-01-2022,SLOT-1,14.695718309859176,25.628000000000007,46.401915492957826
05-01-2022,SLOT-2,12.784289693593307,19.945640668523673,33.88369080779945
06-01-2022,SLOT-1,16.480069637883,26.395389972144866,39.08540389972144
06-01-2022,SLOT-2,16.20325000000001,26.348833333333328,40.87768055555559
07-01-2022,SLOT-1,18.03645340751044,28.658817802503414,41.1368011126565
07-01-2022,SLOT-2,14.736356050069539,22.986050069541022,40.499874826147455
08-01-2022,SLOT-1,21.426801112656467,34.40068150208623,45.68781641168287
08-01-2022,SLOT-2,8.970069444444446,13.445680555555562,21.39377777777779
09-01-2022,SLOT-1,8.697788595271208,12.812225312934647,18.223143254520174
09-01-2022,SLOT-2,6.31147222222222,10.284722222222229,20.62712500000001
10-01-2022,SLOT-1,11.997051460361613,22.400639777468697,47.33592489568844
10-01-2022,SLOT-2,4.127944444444446,8.718111111111106,23.543777777777784
11-01-2022,SLOT-1,7.783613445378164,14.997857142857127,32.595294117647086
11-01-2022,SLOT-2,2.7086901408450705,5.9044225352112685,19.187464788732385
12-01-2022,SLOT-1,4.4532869080779935,8.173426183844011,21.560125348189434
12-01-2022,SLOT-2,5.795983263598327,9.88474198047419,23.199442119944198
13-01-2022,SLOT-1,8.181363004172466,12.530472878998625,25.006216968011138
13-01-2022,SLOT-2,7.619385560675881,12.472980030721974,29.59525345622118
14-01-2022,SLOT-1,9.95128133704735,15.341629526462382,27.841253481894178
14-01-2022,SLOT-2,3.439138888888888,5.846902777777777,14.5635138888889
15-01-2022,SLOT-1,6.040041724617528,9.122656467315705,16.941140472878978
15-01-2022,SLOT-2,7.24701949860723,12.401295264623965,30.14600278551532
16-01-2022,SLOT-1,10.759554937413064,16.88625869262866,29.667232267037576
16-01-2022,SLOT-2,6.011958333333328,10.723611111111111,31.39895833333331
17-01-2022,SLOT-1,7.411867977528085,11.84785112359548,21.626966292134835
17-01-2022,SLOT-2,3.807333333333332,6.232388888888891,15.530347222222225
18-01-2022,SLOT-1,6.238915159944369,9.383908205841433,18.480250347705116
18-01-2022,SLOT-2,7.5810694444444415,11.301347222222219,20.60694444444443
19-01-2022,SLOT-1,9.722180774748919,14.533070301291252,26.555164992826437
19-01-2022,SLOT-2,8.080631364562121,12.25317718940937,25.485865580448063
20-01-2022,SLOT-1,7.9161290322580635,12.073763440860217,26.82225806451614
20-01-2022,SLOT-2,8.564930362116986,14.963105849582169,33.88245125348188
21-01-2022,SLOT-1,15.035688456189128,28.373296244784385,49.788331015299
